Term_EN,Term_ES,Definition
Key Plans and Tiles,,"A geometric self-similar aperiodic space planning system based on furniture/equipment arrangements and circulation."
1/2 Floor,,
1/4 Floor,,
1/8 Floor,,
3/4 Floor,,
Abduction Reasoning,,
Accessibility,,
Adaptive Use or Adaptive Reuse or Adaptive Use (Reuse),,
AEC Community,,
Agroforestry,,
All-Electric Building,,
Amenities,,
Area Structure Plan,,
Areas of Dominant Interest or ADI,,
Assigned Parking,,
Audio-Visual Carts,,
Auxiliary Structure,,
Base Building,,
Battery Bank,,
Battery Room,,
Bike Lane,,
Bike Room or Cycle Storage,,
Bioswales,,
BOMA,,
Building Certification,Certificación del Edificio,
BREEAM Certification or BREEAM,,
Building as a Retailer,Building as a Retailer,Concept of operating office buildings with retailer efficiency.
Building Core Meter Room,,
Building Core Mop Room,,
Building Core Tiles,,
Building Core Washrooms,,
Building Core,,
Building Experience,Experiencia del Edificio,The superior environment resulting from regulatory compliance.
Building ID App,,
Building ID or Building ID (RFID),,
Building Information Modelling (BIM),,
Building Information Modelling Certificate,,
Building IoT Data,,
Building IoT Device,,
Building IoT Sensor,,
Building Manager Line of Sight,,
Building Manager Office,,
Building Manager,Building Manager,On-site role included in the amenity set.
Building Plenum,,
Building Service Hookups,,
Building Services Collaborator,,
Building Services Main Line,,
Building Services,Servicios del Edificio,Mechanical/electrical systems overlaid on the floor plate.
Building Staff Lockers,,
Building Staff,,
Building Width Calculator,,
Built Environment,,
Buying Program,Programa de Compras,Purchasing directly from suppliers for multiple buildings to get rebates.
Campus Design,Campus Design,The cohesive aesthetic of combined Development Classes.
Capital Costs,,
Car or Private Automobile,,
Carbon Negative,,
Carbon Neutral,,
Catch Basins,,
Catchment Areas,,
Center Core,,
Central Business District (CDB),,
Certification of Substantial Completion,,
Circular Economy,,
Cistern,,
Class-A Building,,
Class-B Building,,
Class-C Building,,
Climate Neutral,,
Climate Zones,,
Co-location,Coubicación,Proximity strategy validating physical footprints of major retailers.
Coffee/Bread,Coffee/Bread,"The specific food concept allowed; NOT a 'food provider'."
Collaborator,,
Command Centre Operator,,
Command Centre,,
Common Area Costs,,
Common Area Maintenance or CAM,,
Common Area,,
Common Building Code,,
Concrete Structure,,
Control Architect,,
Corporate Office,,
Corporatism,,
Corridor,,
Cyber Security,,
Cyber-physical Systems (CPS),,
Davit System,,
Decorative Staircase,,
Deductive Reasoning,,
Delivery Method,,
Demising Walls,,
Demountable Building,,
Design Collaborators,,
Design For Assembly,,
Design For Performance,,
Design Slides,,
Desuperheater,,
Development Classes or Building Typologies,,
Development Market,,
Development Officers,,
Development Site,,
